	C	CTT	CRTT	CD	DC	DTT	DRTT	DD
22	0,105640275	0,115408274	0,11464668	0,125206441	0,123644738	0,134988626	0,134104342	0,146360624
23	0,104861765	0,115048482	0,114218512	0,125271201	0,123481548	0,135383784	0,134414242	0,147320466
24	0,104095146	0,114698914	0,113798126	0,125345333	0,123306718	0,135769804	0,134711289	0,148274672
25	0,103340735	0,114359985	0,113386006	0,125429423	0,123119975	0,13614619	0,134995062	0,149222625
26	0,102598837	0,114032099	0,112982628	0,125524053	0,122921063	0,136512454	0,135265155	0,150163711
27	0,10186974	0,113715651	0,112588461	0,125629803	0,122709742	0,136868116	0,135521176	0,151097312
28	0,101153719	0,113411025	0,112203959	0,125747247	0,122485789	0,137212698	0,135762747	0,152022816
29	0,100451033	0,113118593	0,111829568	0,125876955	0,122248999	0,137545733	0,135989509	0,15293961
30	0,099761924	0,112838714	0,11146572	0,126019492	0,121999183	0,137866764	0,136201117	0,153847087
31	0,099086619	0,112571734	0,111112837	0,126175413	0,121736171	0,138175339	0,136397246	0,15474464
32	0,098425329	0,112317984	0,110771324	0,126345267	0,121459811	0,138471022	0,136577589	0,155631674
33	0,097778247	0,112077783	0,110441572	0,126529592	0,121169972	0,138753382	0,136741856	0,156507595
34	0,097145547	0,111851432	0,110123959	0,126728918	0,120866541	0,139022006	0,13688978	0,157371819
35	0,096527388	0,111639217	0,109818844	0,126943759	0,120549422	0,139276488	0,137021111	0,158223771
36	0,095923909	0,111441406	0,109526573	0,127174622	0,120218541	0,139516441	0,137135622	0,159062886
37	0,095335231	0,111258252	0,109247471	0,127421997	0,119873845	0,139741489	0,137233106	0,159888608
38	0,094761458	0,111089989	0,108981847	0,127686361	0,119515297	0,139951272	0,13731338	0,160700396
39	0,094202674	0,11093683	0,108729991	0,127968175	0,119142884	0,140145447	0,13737628	0,161497719
40	0,093658943	0,110798972	0,108492176	0,128267882	0,118756611	0,140323686	0,137421668	0,162280062
41	0,093130312	0,110676592	0,108268652	0,12858591	0,118356504	0,14048568	0,137449425	0,163046926
42	0,092616809	0,110569844	0,108059651	0,128922666	0,117942606	0,140631137	0,137459458	0,163797826
43	0,092118442	0,110478865	0,107865386	0,129278541	0,117514985	0,140759787	0,137451697	0,164532297
44	0,0916352	0,110403768	0,107686045	0,129653901	0,117073725	0,140871374	0,137426095	0,165249891
45	0,091167054	0,110344645	0,107521799	0,130049094	0,116618931	0,140965669	0,137382628	0,16595018
